Country,Product,Import_Export,Quantity,Value,Date,Category,Port,Customs_Code,Weight,Shipping_Method,Supplier,Customer,Invoice_Number,Payment_Terms,Total_Value
South Africa,information,Import,5046,7590.74,06-01-2022,Electronics,West Michael,337839,3634.81,Sea,Haley-Wright,Melissa Anderson,38583288,Prepaid,38302874.0
Greece,nature,Export,2226,3540.04,27-10-2022,Electronics,Jacksonberg,158602,517.44,Sea,Ayala Inc,Monique Barton,90400385,Cash on Delivery,7880129.0
Azerbaijan,stage,Import,4205,6708.52,19-08-2022,Furniture,East Kelly,909812,1388.98,Land,Booker-Perez,Henry Smith,69477848,Net 30,28209327.0
Angola,writer,Import,6258,5324.92,16-02-2021,Toys,North Hectormouth,699410,4157.56,Land,Gonzalez-Bush,James Jones,64696581,Cash on Delivery,33323349.0
Grenada,than,Export,364,4880.31,05-03-2022,Electronics,North Alexanderberg,130182,570.14,Sea,Donovan-Allen,Brianna Oliver,50429731,Prepaid,1776433.0
Bahamas,its,Export,1362,1111.95,28-04-2024,Clothing,Yatesmouth,101342,4589.82,Sea,Davis-Nelson,Matthew Crawford,21867283,Net 30,1514476.0
Honduras,help,Import,8834,6276.81,21-04-2023,Furniture,North Melaniemouth,673666,1541.65,Air,Ray-Weber,Mr. Scott Holder,55974151,Cash on Delivery,55449340.0
Poland,prove,Export,412,6659.89,02-06-2020,Electronics,Brittneyport,981147,3524.76,Sea,"Rogers, Schroeder and Ramirez",Desiree Shaw,36829171,Net 30,2743875.0
Cambodia,similar,Export,8454,3178.89,03-04-2023,Toys,Jessestad,302810,815.4,Sea,Wells-Turner,Patricia Mullen,98524449,Net 30,26874336.0
Guinea-Bissau,positive,Export,7972,1714.77,01-12-2023,Electronics,Sheriberg,545970,2484.12,Air,Dean LLC,Sean Martinez,7584866,Prepaid,13670146.0
Nigeria,receive,Import,2019,4006.89,03-10-2020,Furniture,Bennettshire,348913,31.19,Land,Sellers PLC,Brandon Rojas,58502435,Net 30,8089911.0
Cameroon,again,Export,7311,8849.61,18-02-2022,Machinery,Osborneshire,999705,3150.2,Land,Flores Inc,Mary Patel,61331288,Net 60,64699499.0
Paraguay,assume,Export,261,1599.97,20-06-2023,Electronics,Laceytown,542136,3116.02,Sea,Weaver Group,Ashley Burns,50024012,Cash on Delivery,417592.0
Niger,government,Export,7839,5508.55,09-01-2023,Machinery,Sandraton,183594,3770.76,Sea,Smith Inc,Nicole Garcia,36582063,Net 60,43181523.0
Somalia,area,Import,9461,5365.21,08-02-2021,Furniture,Port Stevenville,915542,3498.72,Air,"Ramirez, Meyer and Wilson",Jennifer Barnett,67564351,Cash on Delivery,50760252.0
Slovakia (Slovak Republic),it,Import,6073,4836.02,16-01-2024,Clothing,Stewartside,372980,979.44,Land,"Nguyen, Salazar and Jones",Danny Martinez,22519019,Net 60,29369149.0
Estonia,physical,Import,1137,7534.79,18-09-2021,Electronics,Kellyburgh,778808,1964.43,Land,"Castillo, Johnson and Andrews",Michele Lloyd,69165198,Prepaid,8567056.0
Malaysia,assume,Export,2228,6024.89,22-12-2020,Electronics,North Patriciachester,574485,4793.04,Air,"Holland, Gallagher and Cooper",Michael Miller,94986118,Net 60,13423455.0
Latvia,place,Import,4259,1017.1,17-05-2020,Furniture,Lake Richard,562552,2875.58,Land,"Lowe, Hernandez and Dixon",Dwayne Zuniga,28849264,Net 60,4331829.0
Canada,message,Export,6626,1912.02,29-11-2019,Furniture,Jenniferburgh,634549,3847.74,Air,"Johnson, Romero and Gillespie",Curtis Hernandez,22846876,Prepaid,12669045.0
Mauritius,two,Export,2096,9767.47,13-01-2022,Toys,West Christopherport,817979,90.1,Land,Morales Group,Edward Roberts,1077038,Cash on Delivery,20472617.0
Montserrat,physical,Import,8302,4932.36,23-01-2020,Machinery,Smithbury,389045,2895.97,Sea,Terry-Johnson,Rhonda Bailey,49709741,Cash on Delivery,40948453.0
Bulgaria,particular,Export,4708,7744.26,05-04-2022,Clothing,Nicolebury,313255,857.34,Land,"Welch, Stewart and Jefferson",Darren Odonnell,2771367,Net 60,36459976.0
Uruguay,might,Import,6759,8836.6,28-09-2022,Electronics,Port David,476765,1913.62,Air,May and Sons,Stephanie Willis,60996935,Net 30,59726579.0
Gabon,mouth,Import,1063,9110.68,27-05-2023,Machinery,South Samantha,428652,2521.37,Sea,Taylor Group,Joyce Henry,47307770,Net 60,9684653.0
Indonesia,themselves,Import,3042,5984.98,11-06-2022,Electronics,Brownton,569862,875.23,Sea,Miles and Sons,Garrett Krause,65487374,Prepaid,18206309.0
Malawi,many,Import,2670,9752.0,18-07-2021,Electronics,South Margaret,209992,1506.81,Air,Mason-Ross,Sandra Howard,60832445,Net 30,26037840.0
Turkey,day,Import,5210,3520.33,21-10-2021,Clothing,Smithchester,975209,1873.6,Air,"Fitzgerald, Lane and Price",Nicholas Richmond,4481713,Cash on Delivery,18340919.0
Aruba,finish,Export,2916,8007.54,21-04-2020,Clothing,Danielburgh,577707,4237.36,Sea,Barr Inc,Perry Graham,38208917,Net 30,23349987.0
Bosnia and Herzegovina,produce,Import,5416,6010.46,08-05-2022,Furniture,Lake Keithborough,867221,1508.66,Land,"Horton, Beasley and Gonzalez",Walter Wallace,89409132,Prepaid,32552651.0
North Macedonia,black,Import,7866,5230.12,22-05-2024,Toys,Port Laura,117928,2853.39,Land,Waller-Spencer,Bruce Atkinson,5361570,Cash on Delivery,41140124.0
Denmark,collection,Export,7458,6007.78,07-03-2021,Electronics,Port Jenny,451100,1657.06,Sea,Patel-Bush,Christopher Davis,22974480,Prepaid,44806023.0
Estonia,arm,Export,4577,7019.81,13-10-2022,Machinery,West Debrachester,110947,2663.98,Sea,Lopez LLC,Micheal House,88447433,Net 60,32129670.0
Antarctica (the territory South of 60 deg S),answer,Import,8375,5553.25,17-03-2021,Toys,West Patrick,955292,2783.78,Land,"Marquez, Armstrong and Nelson",Joseph Fischer,20598900,Net 60,46508469.0
Tonga,quickly,Export,1362,8416.06,11-11-2020,Toys,Millerville,671946,1397.66,Sea,"Reynolds, Rodriguez and Hamilton",Margaret White,63826938,Prepaid,11462674.0
Burkina Faso,because,Export,1465,1803.57,11-06-2022,Machinery,Nelsonton,786689,2088.38,Air,Valenzuela-Smith,Thomas Stout,74726031,Net 60,2642230.0
Austria,military,Import,2665,7362.86,13-03-2024,Toys,East Angelaberg,374866,1908.81,Air,"Clark, Martin and Erickson",Scott Salazar,29108208,Net 30,19622022.0
Guinea,leader,Export,1937,5936.78,12-07-2020,Furniture,South Chris,737656,1498.89,Air,Mcintyre PLC,Richard Little,63306795,Net 60,11499543.0
Colombia,Congress,Import,1735,119.57,23-01-2024,Clothing,Robinborough,717216,1995.66,Land,Davis Inc,Robin Singleton,70003274,Net 30,207454.0
Tonga,actually,Export,766,9262.55,19-04-2021,Machinery,Ronniefort,440654,1921.97,Land,Rogers-Boyd,Samantha Knight,10294522,Net 60,7095113.0
Afghanistan,left,Export,6615,4793.51,04-11-2020,Furniture,Woodsshire,527249,1229.85,Land,"Howell, Lee and Schultz",Savannah Cherry,97767707,Cash on Delivery,31709069.0
Jersey,itself,Import,1789,8392.23,12-02-2020,Machinery,Lake Jessica,695048,2633.85,Sea,Kaufman Ltd,Ruth Smith,30073787,Net 60,15013699.0
Angola,once,Export,1706,5887.21,25-04-2023,Toys,West Melissa,539561,19.05,Sea,Stewart PLC,David Ball,70153282,Net 30,10043580.0
Czech Republic,major,Export,1987,9214.34,08-12-2021,Electronics,Port Joseph,646389,3369.71,Air,Bruce-Sandoval,Joshua Brown,83400974,Prepaid,18308894.0
Liberia,what,Import,8276,8222.73,06-10-2020,Machinery,South Mitchell,751481,4740.39,Air,Davis Ltd,Carolyn Miller,41644322,Cash on Delivery,68051313.0
Seychelles,record,Export,5073,1453.02,23-07-2021,Toys,South Alexanderland,603851,4873.79,Land,"Harmon, Lawson and Smith",Kyle Nelson,84928036,Net 30,7371170.0
Niger,later,Import,3426,7237.64,12-10-2020,Electronics,Carlsonton,291500,4069.04,Land,"Moss, Mccoy and Hunter",Danielle Conway,78432500,Net 60,24796155.0
Congo,could,Import,9940,1262.05,11-08-2021,Machinery,Matthewville,227184,4763.09,Sea,"Cook, Phillips and Nelson",Michael Ellis,48033740,Net 60,12544777.0
Jamaica,baby,Import,6030,6577.36,08-02-2024,Electronics,Judithmouth,765212,4004.32,Air,West-Mitchell,Christopher Davis,85790082,Prepaid,39661481.0
American Samoa,maybe,Import,5955,2011.95,08-09-2021,Electronics,Riosside,108333,4182.72,Land,Flores-Cardenas,Mitchell Thomas Jr.,21416903,Prepaid,11981162.0
Uganda,social,Export,5462,5750.63,03-07-2020,Toys,Chenberg,888781,1102.07,Land,Knapp-Johnson,Brian Figueroa,59825774,Prepaid,31409941.0
Mongolia,race,Export,5291,6593.86,09-12-2023,Furniture,Mayomouth,898837,583.29,Sea,"Henderson, Mendez and Bell",Amber Zimmerman,15177052,Prepaid,34888113.0
Chile,project,Import,3117,4465.73,17-09-2020,Clothing,Kennethborough,305041,2505.77,Air,Elliott Ltd,Anne Thompson,35616862,Cash on Delivery,13919680.0
Nepal,in,Import,3889,489.45,10-05-2021,Furniture,Wallburgh,667982,1823.24,Air,Bowman-Davis,Jessica Brown,94485051,Cash on Delivery,1903471.0
Uzbekistan,responsibility,Import,4867,9878.76,02-05-2020,Machinery,Browntown,905250,2833.01,Sea,Collier Group,Lawrence Oneill,95933483,Prepaid,48079925.0
Myanmar,able,Import,4546,4982.43,12-12-2022,Clothing,North Robert,486892,726.6,Sea,West Inc,Lisa Webb,63219789,Prepaid,22650127.0
Palau,strategy,Import,9341,9352.84,14-09-2022,Machinery,Erikaton,517657,4161.36,Air,"Adams, Jones and Reese",Trevor Smith,83798877,Cash on Delivery,87364878.0
Marshall Islands,control,Import,8777,545.45,05-09-2022,Toys,East Michaelberg,622748,4199.42,Land,Martin-Carson,Michael Jones,62080501,Net 60,4787415.0
Niger,take,Export,6057,4470.87,29-04-2022,Machinery,West Michael,567084,3923.26,Sea,Reese-Jones,Meredith Morris,21283938,Net 60,27080060.0
Suriname,such,Export,9371,9978.49,18-07-2022,Furniture,South Kevin,117107,924.52,Air,Proctor-Miranda,Matthew Hunt,72030666,Net 30,93508430.0
New Zealand,agree,Import,829,8785.39,30-11-2020,Toys,Rogersport,618876,3451.67,Sea,Baker Ltd,Timothy Rivera,40830225,Net 30,7283088.0
Israel,different,Import,8281,3925.22,15-07-2021,Clothing,Williamland,548550,2070.69,Land,Perez and Sons,Michelle Padilla,19319136,Net 30,32504747.0
Bulgaria,much,Export,7831,6423.84,12-12-2019,Machinery,North Susanmouth,776079,4312.23,Land,Nguyen-Ellis,Michael Robertson,45219997,Net 30,50305091.0
Tanzania,bad,Export,8446,5222.94,11-11-2021,Clothing,West Christyhaven,253095,4269.07,Land,"Wright, Bailey and Martinez",Justin Collins,40932030,Net 30,44112951.0
South Georgia and the South Sandwich Islands,today,Export,3044,5792.56,24-04-2023,Furniture,North Christopher,405815,4946.91,Air,Carter LLC,Patty Garcia,21091475,Net 30,17632553.0
North Macedonia,improve,Export,5412,2909.93,25-11-2021,Furniture,Crawfordland,892778,14.07,Air,Davis and Sons,Dustin Perez,99323338,Cash on Delivery,15748541.0
Guadeloupe,to,Export,5896,8902.0,04-12-2023,Machinery,New Ryanton,752866,2774.44,Land,"Riley, Williams and Peterson",Lisa Roberts,82681829,Net 30,52486192.0
Egypt,discover,Import,9016,6223.26,26-08-2022,Clothing,Jessicaton,325270,4664.22,Air,"Smith, White and Potter",Samantha Hardin PhD,51963138,Cash on Delivery,56108912.0
Lao People's Democratic Republic,close,Export,4817,6084.26,02-12-2020,Furniture,Port Fernandoberg,673206,3812.99,Sea,Jones Group,Miranda Anderson,27936914,Net 60,29307880.0
Seychelles,four,Import,5200,6427.35,07-07-2023,Clothing,East Ashleychester,636758,2682.88,Air,Lambert-Washington,Julie Stark,36940538,Net 30,33422220.0
Honduras,article,Export,6621,7823.19,12-11-2019,Furniture,Hansonhaven,258483,4331.02,Air,Davis Group,Troy Holland,95317301,Cash on Delivery,51797341.0
United States Minor Outlying Islands,maintain,Export,1605,5063.97,06-03-2024,Furniture,New Anneshire,271613,733.58,Land,"Price, Nichols and Bray",Christine Hall DVM,59055369,Prepaid,8127672.0
Mayotte,official,Import,3,6230.73,02-02-2023,Furniture,West Susan,441495,2609.53,Land,"Avery, Stewart and Church",Justin Sanchez,24480999,Net 60,18692.0
Aruba,show,Import,5475,8178.63,07-03-2020,Machinery,Santoshaven,438839,2946.32,Sea,Dickerson Group,Paige Singleton,75438959,Net 30,44777999.0
Nigeria,record,Import,8879,8372.98,16-03-2022,Machinery,North Kevin,711922,1648.94,Air,Price Group,Lisa Williams,22052778,Net 60,74343689.0
Cayman Islands,group,Export,9097,2180.89,30-12-2019,Toys,East Christopher,801926,405.56,Land,Neal Ltd,Jason Martin,88002794,Cash on Delivery,19839556.0
United Arab Emirates,police,Import,2595,9486.0,06-05-2024,Electronics,Jenniferborough,855931,1385.25,Sea,Nguyen-Beard,Eric Smith,63883849,Cash on Delivery,24616170.0
Wallis and Futuna,sort,Import,6505,473.42,28-09-2020,Machinery,Port Christophermouth,475061,2172.28,Sea,"Shelton, Shields and Williamson",Hannah Wright,91391791,Cash on Delivery,3079597.0
Comoros,professor,Export,8022,3483.02,23-08-2021,Clothing,Craigfurt,406296,2499.94,Land,Buchanan-Dougherty,Gregory Hawkins,50054618,Prepaid,27940786.0
United States Minor Outlying Islands,information,Import,1552,3787.03,16-04-2024,Machinery,East Jonathan,258378,2432.73,Sea,Cummings-Hall,Amanda Nguyen,29682954,Cash on Delivery,5877471.0
Somalia,second,Export,1875,7682.54,02-01-2022,Clothing,Phillipston,805707,4277.87,Sea,Smith PLC,Jeremy Hunter,14278572,Cash on Delivery,14404762.0
Bahrain,total,Export,4203,7310.78,31-12-2022,Electronics,West Kathy,301412,1884.3,Land,Campbell PLC,Anita Duke DVM,2045104,Cash on Delivery,30727208.0
Yemen,anyone,Import,4699,2870.36,01-10-2021,Machinery,North Melissaburgh,657910,429.05,Land,Kelley-Lewis,Taylor Collins,48108616,Net 60,13487822.0
Svalbard & Jan Mayen Islands,hair,Import,8743,5902.7,20-12-2019,Machinery,Coleburgh,881651,126.04,Air,Bryant-Hill,Nina Williams,64964443,Net 60,51607306.0
Dominica,bill,Import,9646,9696.74,06-07-2024,Clothing,Wendychester,791807,394.68,Land,"Henderson, Sanders and Madden",Julia Ramirez,80167318,Net 60,93534754.0
Czech Republic,win,Import,4672,5004.07,02-12-2021,Clothing,Robertview,569992,3677.36,Land,Lloyd-Oneill,Travis Adams,35938256,Net 30,23379015.0
Grenada,international,Import,8553,799.63,28-02-2023,Furniture,North Angel,179935,2662.15,Land,Sherman Ltd,Jared Crawford,34233652,Cash on Delivery,6839235.0
Benin,he,Import,8381,3790.02,23-08-2024,Machinery,Andrewsborough,775504,2265.12,Air,"Sullivan, Rodriguez and Tyler",Alyssa Young,20420375,Prepaid,31764158.0
Namibia,quite,Import,5565,3659.42,04-06-2020,Electronics,Mitchelltown,885251,4190.84,Land,"Collins, Watts and Johnson",Mr. Taylor Serrano DDS,45087956,Cash on Delivery,20364672.0
Nauru,look,Import,282,5534.15,15-11-2022,Electronics,Port Kennethstad,496343,1874.77,Sea,Eaton Group,Stephanie Brown,89527117,Net 60,1560630.0
Norfolk Island,between,Import,3126,8489.46,29-03-2024,Clothing,Williamsside,663394,2138.72,Land,Torres PLC,Eric Gilbert,68532687,Net 30,26538052.0
Chile,impact,Import,3156,9796.02,21-04-2024,Furniture,Oliverland,134380,1925.97,Sea,Benson-Shannon,April Hayes,99122748,Net 30,30916239.0
Uzbekistan,wrong,Export,2599,234.18,20-10-2021,Toys,Port Jillian,170354,4093.91,Land,Carroll and Sons,Alexander Phillips,2920208,Net 60,608634.0
Cocos (Keeling) Islands,player,Import,4095,7747.57,25-11-2022,Clothing,Brooksbury,905115,4697.98,Sea,Peterson-Wright,Robert Johnson,77981348,Cash on Delivery,31726299.0
Saint Barthelemy,black,Export,823,5042.25,16-12-2023,Electronics,East Timothyside,918325,2160.69,Air,Harris-James,Zachary Mosley,51982402,Cash on Delivery,4149772.0
Philippines,protect,Import,5426,2891.21,29-12-2020,Clothing,Toddville,534369,3498.8,Air,Guzman-Martin,Jason Morgan,65537416,Net 30,15687705.0
South Africa,road,Import,1351,6723.58,27-10-2020,Electronics,Jacquelinehaven,200588,3412.91,Sea,Schwartz-Hurley,Donald Mendoza,97224137,Cash on Delivery,9083557.0
Yemen,ability,Import,4229,6989.06,01-05-2024,Clothing,Paulport,314474,1007.77,Land,"Owen, Sanchez and Parker",Lindsay Ortiz,51160792,Net 60,29556735.0
Angola,rate,Import,7753,8406.45,26-07-2021,Electronics,Joshuaville,898703,2222.58,Air,Mendoza-Taylor,Raymond Silva,75536592,Net 60,65175207.0
Japan,building,Import,5499,1453.41,18-08-2024,Machinery,Lake Emily,191010,1093.16,Air,Cobb Inc,Benjamin Curtis,15507173,Net 30,7992302.0
Brazil,radio,Import,9164,3895.79,21-02-2021,Toys,Millerville,411065,635.67,Sea,Day-Lloyd,Sean Kerr,71983645,Cash on Delivery,35701020.0
Azerbaijan,politics,Export,4050,5235.61,30-01-2024,Toys,New Kevin,541051,1549.01,Air,Saunders-Brown,Virginia Williams,88418155,Cash on Delivery,21204220.0
Nepal,care,Import,3028,8184.18,09-10-2022,Toys,South Joshuaside,610752,3187.7,Air,Chen-Mitchell,Amber Roman,41915669,Net 30,24781697.0
Puerto Rico,contain,Import,5359,1649.54,06-09-2020,Machinery,East Ashlee,205184,565.35,Sea,Price-Barnett,Thomas Torres,69062415,Net 60,8839885.0
Saint Helena,little,Import,2884,4849.09,25-12-2019,Furniture,Port Heatherfurt,285101,383.65,Sea,Hart-Lynch,James Gray,5053315,Net 60,13984776.0
Burundi,trip,Export,2702,7249.76,05-02-2020,Toys,Hardingfurt,814565,4680.46,Land,"Vargas, Wright and Brooks",Tamara Miles,65653487,Cash on Delivery,19588852.0
Puerto Rico,lot,Import,9428,115.98,26-07-2024,Furniture,Port Haileyhaven,525792,14.28,Sea,Ochoa-Atkins,David Joyce,71118616,Net 30,1093459.0
French Guiana,practice,Export,4085,536.93,23-08-2023,Toys,Wilsonside,548662,3563.29,Sea,Barnes Group,Amanda Carroll,94620701,Prepaid,2193359.0
Cayman Islands,coach,Import,3343,3147.32,10-02-2022,Toys,Parkerbury,452307,4328.89,Land,"Horne, Williams and Duncan",Karla Jones,79558933,Prepaid,10521491.0
Guernsey,quickly,Import,1360,7716.45,22-06-2021,Clothing,West Cynthiafurt,687728,450.08,Sea,Martin-Lowe,Susan Austin,35532802,Prepaid,10494372.0
Malawi,carry,Import,3939,3390.35,19-01-2021,Electronics,Michelletown,575198,174.92,Air,Elliott-Byrd,Shannon Barnes,95173780,Net 60,13354589.0
Peru,usually,Export,2547,6040.9,12-07-2023,Machinery,Zacharytown,344444,1919.08,Land,"Marsh, Black and Smith",Kaitlyn Lane,13236983,Net 60,15386172.0
Korea,nothing,Export,7109,7721.57,26-02-2020,Electronics,New Eileen,746014,256.24,Sea,Gordon PLC,Sydney Copeland,51785683,Net 60,54892641.0
Timor-Leste,debate,Export,2222,1433.11,12-05-2021,Machinery,East Robert,831514,1320.18,Sea,Bennett and Sons,Bobby Benson,74804204,Prepaid,3184370.0
South Africa,down,Import,959,4255.89,14-11-2019,Furniture,Williamchester,858877,626.45,Land,Cruz-Cooper,Alyssa Sanders,38051112,Net 30,4081399.0
Tokelau,worry,Import,7670,2108.26,06-04-2021,Furniture,Hamiltonfurt,593408,1883.5,Sea,Becker-Gomez,Derrick Barnes,63140518,Prepaid,16170354.0
Bosnia and Herzegovina,learn,Export,8461,7531.06,20-03-2021,Electronics,Greenmouth,199645,4863.21,Land,"Anderson, Houston and Solomon",Clinton Ward,27617055,Net 60,63720299.0
Northern Mariana Islands,interest,Import,3708,9208.9,17-07-2021,Machinery,Lake Shelley,359696,2462.69,Sea,Powell LLC,Jeremy Conley,47107503,Prepaid,34146601.0
Mexico,light,Import,9933,8527.14,14-11-2021,Electronics,New Michael,543138,2852.28,Air,Lowe PLC,Jean Davenport,53475910,Net 60,84700082.0
Paraguay,see,Export,3066,4674.72,02-05-2022,Clothing,Deleonmouth,730907,3475.23,Air,Hines Ltd,Kristopher Ortiz,10009490,Net 60,14332692.0
Western Sahara,push,Import,9070,1544.0,27-12-2021,Machinery,Lisatown,465911,356.16,Sea,"Bray, Williams and Rivera",Angel Fisher,89428264,Net 30,14004080.0
Singapore,will,Export,6176,9059.78,26-11-2020,Machinery,New Ericburgh,221373,1540.92,Land,Mccall Inc,Susan Obrien,82984052,Prepaid,55953201.0
Maldives,way,Export,2071,7530.12,29-09-2021,Furniture,West Randyport,795637,94.05,Air,"Baker, Spencer and Stokes",Julie Krause,87981059,Prepaid,15594879.0
United States Minor Outlying Islands,second,Export,3547,466.72,27-08-2021,Furniture,Lake Sethhaven,836290,3969.58,Air,Walker-Palmer,Vicki Foster,4678841,Net 60,1655456.0
Congo,guy,Import,9144,5283.08,28-09-2019,Furniture,New Traceymouth,420187,4479.03,Air,"Carlson, Nichols and Taylor",William White MD,10823389,Net 60,48308484.0
Singapore,forward,Import,7564,3310.79,08-04-2023,Electronics,Garciaport,184764,849.6,Land,"Garcia, Wright and Miller",Colleen Miller,46196324,Net 30,25042816.0
Slovakia (Slovak Republic),then,Import,8774,2500.28,20-11-2021,Electronics,Port Sarah,343226,1417.5,Land,Harris LLC,Dylan Bates,14581745,Prepaid,21937457.0
Guam,perform,Import,3469,5421.88,27-08-2021,Machinery,North Anthony,771432,4647.41,Sea,Brown and Sons,Kevin Brooks,81644344,Cash on Delivery,18808502.0
Latvia,sort,Import,8758,6733.85,24-04-2021,Toys,Lamfort,586589,2984.85,Air,Calderon-Potts,Cindy Watts,15829351,Net 60,58975058.0
Australia,brother,Export,7468,7522.72,22-02-2021,Toys,Kennedyhaven,319441,2555.41,Land,Thompson-Glenn,Jeffrey Owens,58493897,Prepaid,56179673.0
Nigeria,special,Export,5305,6222.95,27-12-2021,Furniture,North Meganberg,636777,1876.56,Land,"Bryan, Chavez and Wilson",Charlotte Miranda,31577428,Prepaid,33012750.0
Cook Islands,education,Import,3448,6306.95,23-01-2020,Furniture,Travischester,788704,2865.33,Air,Weeks-Oliver,Brandy Ferguson,17360809,Cash on Delivery,21746364.0
Mozambique,heart,Export,2263,8121.87,10-02-2021,Furniture,Graybury,104851,53.12,Air,"Mcdonald, Carlson and Medina",Alicia Chaney,94219165,Cash on Delivery,18379792.0
Monaco,morning,Import,2700,9283.54,26-02-2022,Machinery,Kelseyborough,448561,2039.13,Air,"Graves, Hensley and Molina",Mr. Matthew Reyes MD,10381558,Net 60,25065558.0
Micronesia,sea,Import,9207,8628.39,27-11-2023,Electronics,New Sandra,190800,492.46,Sea,Ruiz PLC,Daniel Russell,54506409,Net 60,79441587.0
Bhutan,huge,Export,3993,6961.75,06-03-2021,Toys,Johnsonport,569580,518.06,Land,Powell PLC,Sharon Stephens,97252235,Net 30,27798268.0
Antigua and Barbuda,administration,Export,1168,2110.01,24-09-2021,Toys,Pottershire,539003,2308.93,Air,"Villarreal, Kelley and Griffin",Keith Copeland,83729505,Prepaid,2464492.0
Jersey,eight,Export,4470,9014.26,10-08-2024,Toys,Susanshire,391500,3264.82,Sea,"Perez, Tucker and Davidson",Jennifer Moreno,47322019,Prepaid,40293742.0
Benin,time,Export,5254,5274.54,25-08-2022,Clothing,Dustinshire,741543,4178.28,Air,"Williams, Sanders and Anderson",Maxwell Newman,31985856,Net 30,27712433.0
Singapore,tend,Export,7351,5528.77,27-10-2019,Toys,New Mauriceshire,795553,614.23,Land,Moran-Flores,Tiffany Ryan,74054370,Net 30,40641988.0
Korea,fight,Export,5762,8111.43,14-06-2020,Electronics,Kimberlyhaven,877508,343.07,Land,Krueger and Sons,Zachary Mcfarland,12967736,Net 60,46738060.0
Moldova,born,Import,4176,7881.17,22-09-2022,Furniture,Lake Christopherton,697237,141.12,Air,Stone-Richardson,Tina Shannon,14984120,Cash on Delivery,32911766.0
Guernsey,require,Import,1590,6343.38,18-05-2021,Clothing,Port Bryanport,689067,2104.15,Land,Benjamin Inc,Robin Russell,77555450,Net 60,10085974.0
Isle of Man,six,Export,1015,4088.65,18-11-2020,Furniture,Fowlerborough,797791,233.94,Land,"Murray, Potter and Hernandez",Joshua Long,19583783,Net 60,4149980.0
Mauritania,forget,Import,2008,687.9,11-02-2024,Machinery,Alisonview,216094,1249.47,Air,King Group,Gregory Parker,85366514,Cash on Delivery,1381303.0
Canada,especially,Export,3894,3599.62,27-01-2023,Toys,Lake Laura,730598,2278.67,Land,Williams LLC,Russell Miller,56434664,Net 60,14016920.0
Saint Helena,officer,Import,1477,8417.09,07-10-2019,Toys,East Kim,519702,2520.39,Sea,Webb-Mills,Ronald Ferguson,38826807,Cash on Delivery,12432042.0
